,split,seed,size,Precision,Recall,F1_score,Accuracy,AUC_ROC
230,fashion,28,1,0.6133964268113267,0.6968,0.6450532146767095,0.93936,0.8315555555555555
231,fashion,28,2,0.5602703662032827,0.6616,0.5908996661867236,0.93232,0.8119999999999999
232,fashion,28,3,0.5669847270702917,0.6460999999999999,0.5875690464251531,0.92922,0.8033888888888889
233,fashion,28,4,0.6265687551834824,0.7058,0.6558302769888356,0.94116,0.8365555555555556
234,fashion,28,5,0.54549387602313,0.6244,0.5654286266467274,0.92488,0.7913333333333333
235,fashion,28,6,0.7178361121650352,0.7817999999999999,0.7454611989940061,0.95636,0.8787777777777779
236,fashion,28,7,0.6242603066547261,0.6898,0.6441308261777057,0.93796,0.8276666666666668
237,fashion,28,8,0.5901052395407117,0.6412,0.599515928276864,0.92824,0.8006666666666667
238,fashion,28,9,0.8700417947329828,0.8677999999999999,0.86868633255122,0.97356,0.9265555555555556
239,fashion,28,10,0.6782633089001866,0.7392000000000001,0.7001250052658242,0.94784,0.8551111111111112
240,digits,27,1,0.5153515684269253,0.5981,0.5302141153730481,0.91962,0.7767222222222222
241,digits,27,2,0.6177141750869702,0.695675,0.6346700636397842,0.939135,0.8309305555555555
242,digits,27,3,0.992404648904838,0.9924,0.9924006161224465,0.99848,0.995777777777778
243,digits,27,4,0.9918230390242307,0.9918,0.9918026817424002,0.99836,0.9954444444444444
244,digits,27,5,0.8396150476277349,0.89055,0.8569573342314522,0.97811,0.9391944444444442
245,digits,27,6,0.6185795808534222,0.695125,0.6344908751911206,0.939025,0.8306249999999998
246,digits,27,7,0.8421854350620711,0.8926000000000001,0.8592108336190003,0.97852,0.9403333333333332
247,digits,27,8,0.9852618857649044,0.985225,0.9852317150326412,0.9970450000000002,0.9917916666666666
248,digits,27,9,0.9891933354806552,0.989175,0.9891771420375362,0.997835,0.993986111111111
249,digits,27,10,0.9864368098378689,0.986425,0.9864274446698766,0.997285,0.9924583333333334
250,balanced,27,1,0.7999377743806078,0.8239893617021274,0.8092510878163164,0.9925101856043458,0.9100815217391306
251,balanced,27,2,0.4645576136588172,0.514095744680851,0.4845225814931843,0.9793232231779084,0.7517663043478263
252,balanced,27,3,0.5071352201549101,0.5501063829787236,0.5191329367205307,0.980855590765052,0.7701630434782608
253,balanced,27,4,0.541054174395553,0.5648404255319149,0.5455249559804013,0.9814825712992304,0.7776902173913043
254,balanced,27,5,0.4544228021471171,0.4907446808510639,0.4631824467794534,0.9783295608872792,0.739836956521739
255,balanced,27,6,0.638656977423285,0.6577127659574469,0.6423779386025245,0.9854345857854232,0.8251358695652175
256,balanced,27,7,0.5124567093948349,0.544468085106383,0.5197121139634898,0.9806156631960165,0.767282608695652
257,balanced,27,8,0.5028220414702014,0.5309042553191489,0.5098468703059562,0.980038478949751,0.7603532608695652
258,balanced,27,9,0.6035507255980584,0.624095744680851,0.6079343326002744,0.9840040742417384,0.8079619565217392
259,balanced,27,10,0.67105537154696,0.6914893617021275,0.6751981086967445,0.9868718877320052,0.8423913043478262
260,fashion,27,1,0.7533308295492611,0.8039999999999999,0.7724780651604914,0.9608,0.8911111111111112
261,fashion,27,2,0.6432898318466268,0.7249999999999999,0.6714240155609514,0.945,0.8472222222222221
262,fashion,27,3,0.7524909863578302,0.8071999999999999,0.7744266993599449,0.96144,0.8928888888888888
263,fashion,27,4,0.3314562091384963,0.4227,0.3530528926497868,0.8845400000000001,0.6792777777777779
264,fashion,27,5,0.601388855108592,0.679,0.6268180916895553,0.9358,0.8216666666666667
265,fashion,27,6,0.6243778708385173,0.7059,0.6528510854489333,0.94118,0.8366111111111112
266,fashion,27,7,0.626691987840197,0.7153999999999999,0.6590663455483747,0.94308,0.8418888888888889
267,fashion,27,8,0.7221495292183386,0.7882,0.7507014188656266,0.95764,0.8823333333333334
268,fashion,27,9,0.7183136747748025,0.7613000000000001,0.7334886835167677,0.95226,0.867388888888889
269,fashion,27,10,0.8766082020395658,0.8764,0.876317613998445,0.97528,0.9313333333333332
270,digits,30,1,0.4095326121554068,0.498025,0.4244479226077876,0.899605,0.721125
271,digits,30,2,0.7266788426666683,0.795775,0.7449615515026973,0.9591550000000002,0.8865416666666668
272,digits,30,3,0.8442997285829209,0.894975,0.8614375386332702,0.978995,0.941652777777778
273,digits,30,4,0.8432517223820163,0.8941500000000001,0.8605673681410602,0.97883,0.9411944444444446
